"source","target","context","developer_comments"
"720261501000119107","Cerebrovascular accident due to occlusion of bilateral anterior cerebral arteries","720261501000119107",""
"720138451000119108","Injury of muscle of hand","720138451000119108",""
"714023571000119102","Weathering nodule of helix of left ear","714023571000119102",""
"712365461000119105","Pathological fracture of left foot due to osteopetrosis","712365461000119105",""
"712072191000119105","Infection of transplanted cornea of left eye","712072191000119105",""
"705220971000119104","Pressure injury of deep tissue of right hip","705220971000119104",""
"703340121000119102","Gastrostomy prolapse","703340121000119102",""
"703100191000119101","Rebound tenderness of right upper quadrant of abdomen","703100191000119101",""
"697788021000119105","Carrier of Gaucher disease","697788021000119105",""
"695751021000132104","Lipoma of stomach","695751021000132104",""
"695449561000119100","Endometrioma of left ovary","695449561000119100",""
"689727121000119109","Endometriosis of serosa of rectum","689727121000119109",""
"686117221000119105","Crepitus of joint of left ankle","686117221000119105",""
"684633371000119107","Diffuse pulmonary meningotheliomatosis","684633371000119107",""
"684579951000119109","Primary squamous cell carcinoma of skin of right foot","684579951000119109",""
"683509791000119109","Acute pyloric ulcer caused by Helicobacter pylori","683509791000119109",""
"680035451000119103","Carrier of Becker muscular dystrophy","680035451000119103",""
"679690691000119102","Deep endometriosis of bladder","679690691000119102",""
"678509831000119103","Injury of lung due to dabbing","678509831000119103",""
"674814021000119106","Acute respiratory distress syndrome due to COVID-19","674814021000119106",""
"669274571000119102","Venous ulcer of right ankle","669274571000119102",""
"655081461000119101","Cerebrovascular accident due to occlusion of right anterior cerebral artery","655081461000119101",""
"653850281000119101","Partial vaccination for COVID-19","653850281000119101",""
"652287331000119104","Cerebrovascular accident of brainstem","652287331000119104",""
"650284171000119103","Anterior subluxation of radial head","650284171000119103",""
"646218511000119105","Weathering nodule of helix of bilateral ears","646218511000119105",""
"643996241000119101","Superficial endometriosis of bilateral ovaries","643996241000119101",""
"640080131000119107","Left lateral orbit wall closed fracture","640080131000119107",""
"639766991000119109","Traumatic partial rupture of rotator cuff of left shoulder","639766991000119109",""
"638862541000119108","Granulomatous mastitis of right breast","638862541000119108",""
"636201361000119105","Primary malignant neoplasm of sclera of left eye","636201361000119105",""
"635116041000119100","Sporadic cavernous malformation of cerebrum","635116041000119100",""
"632240011000119105","Crepitus of joint of bilateral ankles","632240011000119105",""
"630352961000119108","Bilateral iritis due to and following surgical procedure on bilateral eye regions","630352961000119108",""
"629149351000119106","Schwannoma of cranial nerve","629149351000119106",""
"626416581000119101","Carrier of carbapenem resistant Acinetobacter baumannii","626416581000119101",""
"625544171000132109","Disorder of pancreatic stent","625544171000132109",""
"619779711000119104","Melanoma in situ of skin of left foot","619779711000119104",""
"616839841000119101","Vertebrogenic low back pain","616839841000119101",""
"613093311000119107","Poisoning caused by valproic acid","613093311000119107",""
"610412651000119100","Infarction of small intestine due to mesenteric vein thrombosis","610412651000119100",""
"609590581000119102","Ruptured aneurysm of descending thoracic aorta","609590581000119102",""
"602893011000119101","Acute nasopharyngitis caused by respiratory syncytial virus","602893011000119101",""
"602822751000119104","Right retinopathy caused by pentosan polysulfate","602822751000119104",""
"600455841000119103","Superficial endometriosis of left ovary","600455841000119103",""
"600224751000119105","Weathering nodule of helix of right ear","600224751000119105",""
"598377701000119108","Clear cell adenocarcinoma of Mullerian origin of ovary","598377701000119108",""
"595899961000119100","Cerebrovascular accident of basal ganglia","595899961000119100",""
"593005441000119104","Disorder of tooth due to Sjögren's syndrome","593005441000119104",""
"592513751000119104","Bilateral dystrophy of posterior surface of cornea of eyes","592513751000119104",""
"590365011000119106","Transfusion-associated dyspnea","590365011000119106",""
"589157321000132102","Diverticulum of peri-ampullary tissue of hepatopancreatic ampulla","589157321000132102",""
"587751151000119107","Acute lower respiratory infection caused by respiratory syncytial virus","587751151000119107",""
"586464951000119108","Primary malignant melanoma of mucous membrane of larynx","586464951000119108",""
"586065651000119108","Endometriosis of sigmoid colon","586065651000119108",""
"585603201000119101","Pressure injury of deep tissue of right elbow","585603201000119101",""
"584836011000119107","Carrier of maple syrup urine disease type IB","584836011000119107",""
"578968971000119100","Cerebrovascular accident due to thrombosis of bilateral vertebral arteries","578968971000119100",""
"575462741000119102","Nontraumatic cerebellar edema","575462741000119102",""
"565951401000119107","Venous ulcer of right calf","565951401000119107",""
"564989741000119102","Disorder due to and following transplant of cornea of right eye","564989741000119102",""
"563789641000119101","Cerebrovascular accident due to thrombosis of bilateral carotid arteries","563789641000119101",""
"561885931000119106","Deep tissue pressure injury of right heel","561885931000119106",""
"561258721000119104","Bilateral macular dystrophy of substantia propria of cornea of eyes","561258721000119104",""
"559151051000119108","Carrier of Bloom syndrome","559151051000119108",""
"557571231000119105","Ruptured aneurysm of ascending aorta","557571231000119105",""
"557174041000119102","Well-differentiated neuroendocrine tumor grade 2 of left lung","557174041000119102",""
"556301811000119107","Neoplasm of uncertain behavior of spinal intradural extramedullary space","556301811000119107",""
"556179491000119104","Interstitial lung disorder due to vaping","556179491000119104",""
"551906581000119101","Malignant melanoma of skin of finger of right hand","551906581000119101",""
"550376571000132101","Stricture of jejunum","550376571000132101",""
"547853841000119107","Open fracture of right lateral orbital wall","547853841000119107",""
"547665171000119105","Pseudocyst of right ear","547665171000119105",""
"544102301000119103","Bilateral stromal dystrophy of substantia propria of cornea of eyes","544102301000119103",""
"543826841000119109","Metastatic well-differentiated neuroendocrine tumor to right lung","543826841000119109",""
"543303731000119106","Statin-induced myopathy","543303731000119106",""
"542440891000119103","Ulcerative pancolitis in remission","542440891000119103",""
"539503321000119109","Aggressive fibromatosis of intraabdominal region","539503321000119109",""
"535696741000119105","Pseudocyst of left ear","535696741000119105",""
"532502421000119102","Melanoma in situ of skin of left shoulder","532502421000119102",""
"530558861000132104","Atypical diabetes mellitus","530558861000132104",""
"527788091000119106","Crohn disease of small intestine and large intestine in remission","527788091000119106",""
"527072941000119107","Stenosis of gastrostomy stoma","527072941000119107",""
"517253051000119105","Cerebrovascular accident due to embolism of left vertebral artery","517253051000119105",""
"515623061000119105","Crohn disease of colon in remission","515623061000119105",""
"515027091000119100","Varices of rectum","515027091000119100",""
"514793471000119104","Usher syndrome type 1F","514793471000119104",""
"511452481000119102","Cerebrovascular accident due to thrombosis of right vertebral artery","511452481000119102",""
"504145431000119104","Stent in branch of left coronary artery","504145431000119104",""
"501913511000119109","Ulcerative rectosigmoiditis in remission","501913511000119109",""
"501661611000119107","Latent genital herpes simplex during pregnancy","501661611000119107",""
"500790491000119109","Acute gastric ulcer caused by Cytomegalovirus","500790491000119109",""
"499707741000119108","Dislocation of prosthetic joint of finger","499707741000119108",""
"496369931000119104","Cerebrovascular accident due to thrombosis of right cerebellar artery","496369931000119104",""
"494884791000119105","Carrier of Fanconi anemia group C","494884791000119105",""
"494716691000132104","Medication titrated","494716691000132104",""
"493721211000119100","Non-radiographic axial spondyloarthritis of lumbar and sacral regions","493721211000119100",""
"491375231000119103","Deep endometriosis of rectum","491375231000119103",""
"489609371000119104","Persistent atrial fibrillation due to heart valve disorder","489609371000119104",""
"488408691000119104","Cerebrovascular accident due to thrombosis of bilateral cerebellar arteries","488408691000119104",""
"486168421000119108","Melanoma in situ of skin of right shoulder","486168421000119108",""
"485062701000119100","Melanoma in situ of oral mucous membrane","485062701000119100",""
"483082881000119106","Disorder due to and following transplant of cornea of left eye","483082881000119106",""
"481462461000119102","Carrier of spinal muscular atrophy","481462461000119102",""
"480837841000119108","Pressure injury of deep tissue of left elbow","480837841000119108",""
"479737601000119105","Primary malignant melanoma of mucous membrane of pharynx","479737601000119105",""
"477402151000119107","Primary carcinoma ex pleomorphic adenoma of left lacrimal gland","477402151000119107",""
"477380501000119109","Carrier of dihydrolipoamide dehydrogenase deficiency","477380501000119109",""
"472729851000119109","Venous ulcer of right foot","472729851000119109",""
"470101491000119107","Interstitial lung disorder due to dabbing","470101491000119107",""
"468409941000119108","Pressure injury of deep tissue of sacral region of back","468409941000119108",""
"467643831000119105","Paroxysmal atrial fibrillation due to heart valve disorder","467643831000119105",""
"467442061000119103","Aggressive fibromatosis of upper limb","467442061000119103",""
"464713501000119109","Juvenile osteochondrosis of left proximal tibia","464713501000119109",""
"464345231000119105","Endometriosis of anterior abdominal wall","464345231000119105",""
"462029681000119103","Familial cavernous malformation of spinal cord","462029681000119103",""
"459619971000119103","Radioulnar synostosis of left forearm following traumatic injury","459619971000119103",""
"456973081000119104","Papillary carcinoma in situ of right breast","456973081000119104",""
"455733521000119103","Primary squamous cell carcinoma of skin of head and/or neck","455733521000119103",""
"455367991000119108","Open fracture of left lateral orbital wall","455367991000119108",""
"455201601000132100","At high risk for fall","455201601000132100",""
"453720571000119100","Acute ulcerative rectosigmoiditis","453720571000119100",""
"450728161000119104","Pressure injury of deep tissue of left ankle","450728161000119104",""
"448946121000119109","Neoplasm of uncertain behavior of spinal intradural intramedullary space","448946121000119109",""
"444438261000119106","Aggressive fibromatosis of thoracic cavity","444438261000119106",""
"444128991000119108","Venous ulcer of left heel","444128991000119108",""
"428487561000119102","Primary basal cell carcinoma of skin of left foot","428487561000119102",""
"428263221000119103","Melanoma in situ of epithelium of vagina","428263221000119103",""
"419033301000119102","Nontraumatic retroperitoneal hematoma","419033301000119102",""
"418705661000119102","Aggressive fibromatosis of head and neck","418705661000119102",""
"417437921000119101","Metastatic nuclear protein in testis associated carcinoma to liver","417437921000119101",""
"414464311000119100","Granulomatous mastitis of left breast","414464311000119100",""
"413954721000119104","Laceration of blood vessel of little finger","413954721000119104",""
"409743031000119105","Well-differentiated neuroendocrine tumor grade 2 of right lung","409743031000119105",""
"409178361000119104","Malignant melanoma of skin of left elbow","409178361000119104",""
"404252071000119106","Endometrial cyst of right ovary","404252071000119106",""
"402503301000132107","Infection of pancreatic stent","402503301000132107",""
"400375351000119102","Malignant melanoma of skin of left ankle","400375351000119102",""
"399100901000119108","Aggressive fibromatosis of back","399100901000119108",""
"397970031000119102","Left thigh adductor muscle strain","397970031000119102",""
"396948171000119104","Osteitis deformans of bilateral tibias and fibulas","396948171000119104",""
"392913311000119107","Pressure injury of deep tissue of left hip","392913311000119107",""
"391919221000119107","Malignant melanoma of skin of finger of left hand","391919221000119107",""
"386085001000119102","Metastatic well-differentiated neuroendocrine tumor to left lung","386085001000119102",""
"384430101000119103","Cerebrovascular accident due to embolism of right carotid artery","384430101000119103",""
"383350451000119103","Subacute cough","383350451000119103",""
"377096861000119104","Iritis of right eye due to and following surgical procedure on right eye region","377096861000119104",""
"372481521000119108","Juvenile osteochondrosis of bilateral proximal tibias","372481521000119108",""
"370658281000119103","Acute respiratory distress syndrome due to dabbing","370658281000119103",""
"363589331000119100","Left orbital roof closed fracture","363589331000119100",""
"362594291000119104","Squamous cell carcinoma in situ of skin of bilateral feet","362594291000119104",""
"359842081000119101","Melanoma in situ of skin of right foot","359842081000119101",""
"355468491000132106","Stenosis of ileum","355468491000132106",""
"353043291000119101","Venous ulcer of left lower leg","353043291000119101",""
"352269591000119107","Acute respiratory distress syndrome due to vaping","352269591000119107",""
"350586651000119105","Chronic respiratory failure due to neuromuscular disease","350586651000119105",""
"350456001000119102","Superior semicircular canal dehiscence syndrome of left ear","350456001000119102",""
"348437421000119107","Juvenile osteochondrosis of right proximal tibia","348437421000119107",""
"348126401000119103","Open fracture of right orbital roof","348126401000119103",""
"347218661000119103","Abrasion of mouth region","347218661000119103",""
"346674811000119104","Cerebrovascular accident due to occlusion of bilateral cerebellar arteries","346674811000119104",""
"344015141000119100","Acute ischemia of colon due to thrombosis of mesenteric vein","344015141000119100",""
"344013271000119100","Papillary carcinoma in situ of left breast","344013271000119100",""
"343214191000119103","Osteitis deformans of bilateral radii and ulnas","343214191000119103",""
"343121331000119105","Nocturnal polyuria","343121331000119105",""
"341306651000119109","Primary carcinoma ex pleomorphic adenoma of right lacrimal gland","341306651000119109",""
"338117701000119103","Venous ulcer of left foot","338117701000119103",""
"333493901000119105","Difficulty understanding health information","333493901000119105",""
"332721351000132106","At moderate risk for fall","332721351000132106",""
"328814631000119101","Nontraumatic rupture of left Achilles tendon","328814631000119101",""
"326855291000119103","Bilateral malignant melanoma of skin of forearms","326855291000119103",""
"325657381000119109","Traumatic retroperitoneal hematoma","325657381000119109",""
"324946811000119102","Pressure injury of deep tissue of right ankle","324946811000119102",""
"324494491000119108","Bilateral dermatochalasis of lower eyelids","324494491000119108",""
"323451861000119105","Ileostomy stomal stenosis","323451861000119105",""
"323390301000119108","Traumatic partial rupture of rotator cuff of right shoulder","323390301000119108",""
"322112361000132104","Scar epilepsy","322112361000132104",""
"320906871000119104","Adverse reaction caused by synthetic cannabinoid","320906871000119104",""
"313377641000119105","Atrial fibrillation due to heart valve disorder","313377641000119105",""
"305208121000119100","Deep endometriosis of small intestine","305208121000119100",""
"301891901000119107","Unstageable pressure injury of toe of right foot","301891901000119107",""
"301512771000119106","Lumbar peritoneal shunt in situ","301512771000119106",""
"298882861000119105","Tendinosis of left wrist","298882861000119105",""
"297845361000119109","Superficial endometriosis of appendix","297845361000119109",""
"297778421000119102","Cerebrovascular accident due to thrombosis of bilateral posterior cerebral arteries","297778421000119102",""
"297637381000119102","Crepitus of joint of right ankle","297637381000119102",""
"292834071000119104","Acute deep vein thrombosis during pregnancy","292834071000119104",""
"289732131000119101","Acute infarction of colon due to mesenteric vein thrombosis","289732131000119101",""
"289566561000119108","Acute ischemia of small intestine due to thrombosis of mesenteric vein","289566561000119108",""
"286174791000119107","Venous ulcer of left calf","286174791000119107",""
"284925261000119101","Deep endometriosis of appendix","284925261000119101",""
"284158251000119106","Neoplasm of uncertain behavior of smooth muscle","284158251000119106",""
"282236291000119109","Pressure injury of deep tissue of right buttock","282236291000119109",""
"280797561000119107","Permanent atrial fibrillation due to heart valve disorder","280797561000119107",""
"275122681000119107","Esophagostomy stomal stenosis","275122681000119107",""
"274524231000119104","Venous ulcer of right heel","274524231000119104",""
"265458371000119104","Primary malignant adamantinoma of long bone of right lower limb","265458371000119104",""
"253967391000119103","Transitional atrioventricular septal defect","253967391000119103",""
"253855721000119107","Crohn disease of small intestine in remission","253855721000119107",""
"251770561000119107","Cerebrovascular accident due to embolism of left anterior cerebral artery","251770561000119107",""
"250856961000119105","Chronic ulcer of pyloric antrum","250856961000119105",""
"249646051000119108","Nontraumatic rupture of right Achilles tendon","249646051000119108",""
"249389151000119103","Malignant melanoma of skin of right wrist","249389151000119103",""
"249248231000119105","Immunity to hepatitis C determined by serology","249248231000119105",""
"246967871000119109","Acquired claw toe of left foot","246967871000119109",""
"246109831000119101","Laceration of intrinsic muscle of ring finger","246109831000119101",""
"243971001000119103","Malignant melanoma of skin of right ankle","243971001000119103",""
"243863351000119103","Right lateral orbit wall closed fracture","243863351000119103",""
"241732151000119106","Laceration of blood vessel of index finger","241732151000119106",""
"239965291000119107","Cerebrovascular accident due to occlusion of basilar artery","239965291000119107",""
"236653921000119103","Venous ulcer of right lower leg","236653921000119103",""
"232534061000119102","Delirium due to hepatic encephalopathy","232534061000119102",""
"232417611000119100","Thrombotic microangiopathy following transplantation of hematopoietic stem cell","232417611000119100",""
"231349391000119108","Ulcerative proctitis in remission","231349391000119108",""
"228156681000119109","Hemorrhagic infarction of thyroid","228156681000119109",""
"226707431000119102","Bilateral radioulnar synostosis following traumatic injury","226707431000119102",""
"226446911000119100","Well-differentiated neuroendocrine tumor grade 1 of bronchus","226446911000119100",""
"226162961000119108","Central nervous system disorder due to Sjögren's syndrome","226162961000119108",""
"221899751000119107","Chronic pyloric ulcer caused by Helicobacter pylori","221899751000119107",""
"221365751000119108","Endometriosis of diaphragm","221365751000119108",""
"220935971000119109","Left retinopathy caused by pentosan polysulfate","220935971000119109",""
"220767211000119104","Pathologic fracture of right foot due to osteopetrosis","220767211000119104",""
"218521311000119109","Carrier of Usher syndrome type 1F","218521311000119109",""
"216633071000119103","Chronic pediatric feeding disorder","216633071000119103",""
"214036171000119109","Left sided ulcerative colitis in remission","214036171000119109",""
"214019531000119101","Parrot bite wound","214019531000119101",""
"212455011000119105","Subacute nontraumatic intracranial subdural hematoma","212455011000119105",""
"210321571000119107","Laceration of blood vessel of middle finger","210321571000119107",""
"206335051000132108","Cyst of stomach","206335051000132108",""
"206138281000119100","Crohn disease of rectum in remission","206138281000119100",""
"201395181000119103","Low grade appendiceal mucinous neoplasm of appendix","201395181000119103",""
"199746291000119109","Venous ulcer of toe of right foot","199746291000119109",""
"197452441000119101","Senile gluteal dermatosis","197452441000119101",""
"195953191000119108","Carrier of mucolipidosis type IV","195953191000119108",""
"195772021000119105","Cerebrovascular accident due to thrombosis of left anterior cerebral artery","195772021000119105",""
"192801891000119102","Laceration of intrinsic muscle of middle finger","192801891000119102",""
"190045361000119101","Normocalcemic primary hyperparathyroidism","190045361000119101",""
"189486241000119100","Asymptomatic SARS-CoV-2","189486241000119100",""
"188174841000119103","Cerebrovascular accident due to occlusion of bilateral middle cerebral arteries","188174841000119103",""
"184437571000119104","Congenital structural abnormality of ciliary body","184437571000119104",""
"182960891000119101","Cerebrovascular accident due to occlusion of left anterior cerebral artery","182960891000119101",""
"172734791000119103","Postpartum chronic deep vein thrombosis","172734791000119103",""
"170059221000119102","Lipoid pneumonitis due to vaping","170059221000119102",""
"168747591000119109","Cerebrovascular accident due to embolism of bilateral posterior cerebral arteries","168747591000119109",""
"168649391000119103","Venous ulcer of left midfoot","168649391000119103",""
"168648641000119107","Radioulnar synostosis of right forearm following traumatic injury","168648641000119107",""
"166582541000119101","Jejunostomy prolapse","166582541000119101",""
"165468981000119105","Toxic dilated cardiomyopathy","165468981000119105",""
"165264081000119102","Squamous cell carcinoma in situ of skin of left foot","165264081000119102",""
"164513451000119102","Superficial endometriosis of diaphragm","164513451000119102",""
"164353731000119106","Postpartum acute deep vein thrombosis","164353731000119106",""
"159139031000119104","Candidal vulvovaginitis during pregnancy","159139031000119104",""
"156077081000119105","Infection of transplanted cornea of right eye","156077081000119105",""
"153008441000119109","Intracranial ventricular fluid external drainage catheter in situ","153008441000119109",""
"152148641000119104","Cerebrovascular accident due to embolism of bilateral carotid arteries","152148641000119104",""
"151581811000119109","Polyp of cardioesophageal junction","151581811000119109",""
"148822661000119106","Malignant neuroendocrine neoplasm of nasal cavity","148822661000119106",""
"145298771000119104","Malignant carcinoid tumor of left lung","145298771000119104",""
"145194251000119106","Primary basal cell carcinoma of skin of right foot","145194251000119106",""
"140633841000119106","Metastatic well-differentiated neuroendocrine tumor to regional lymph node","140633841000119106",""
"139566261000119101","Deep tissue pressure injury of left heel","139566261000119101",""
"138841771000119103","Chronic candidiasis of vagina during pregnancy","138841771000119103",""
"138389411000119105","Acute bronchitis caused by SARS-CoV-2","138389411000119105",""
"137644811000119102","Well-differentiated neuroendocrine tumor grade 1 of right lung","137644811000119102",""
