"source","target","context","developer_comments"
"127325009","Procedure related finding","127325009",""
"123821009","Abnormal blood oxygen pressure","123821009",""
"118240005","Finding by method","118240005",""
"118236001","Ear and auditory finding","118236001",""
"118235002","Eye / vision finding","118235002",""
"118228005","Functional finding","118228005",""
"118227000","Vital signs finding","118227000",""
"118226009","Temporal finding","118226009",""
"118223001","Patient status finding","118223001",""
"118219009","Male sexual finding","118219009",""
"118209003","Finding related to exertion","118209003",""
"118188004","Finding of neonate","118188004",""
"116336009","Eating / feeding / drinking finding","116336009",""
"108329005","Social context finding","108329005",""
"107650008","Color finding","107650008",""
"106176003","Endocrine finding","106176003",""
"106168000","Finding related to sleep","106168000",""
"106132005","Speech finding","106132005",""
"106112009","Fetal finding","106112009",""
"106089007","Metabolic finding","106089007",""
"106077005","Integumentary system finding","106077005",""
"106063007","Cardiovascular finding","106063007",""
"106048009","Respiratory finding","106048009",""
"106030000","Muscle finding","106030000",""
"106028002","Musculoskeletal finding","106028002",""
"106019003","Elimination pattern","106019003",""
"105729006","Health perception, health management pattern","105729006",""
"105728003","Nursing observation AND/OR diagnosis","105728003",""
"105726004","Age AND/OR growth finding","105726004",""
"105725000","Chronobiology AND/OR biorhythm finding","105725000",""
"105721009","General problem AND/OR complaint","105721009",""
"105720005","Finding related to general body function","105720005",""
"105719004","Body disability AND/OR failure state","105719004",""
"105501005","Dependence on enabling machine or device","105501005",""
"105499002","Convalescence","105499002",""
"102957003","Neurological finding","102957003",""
"102475006","Patient reaction finding","102475006",""
"89412004","Postinfectious state","89412004",""
"88472004","Intercurrent disease","88472004",""
"86820007","Endemic disease","86820007",""
"84387000","Asymptomatic","84387000",""
"80631005","Clinical stage finding","80631005",""
"79899007","Medication interaction","79899007",""
"74217003","Local disease","74217003",""
"73443006","Intraoperative state","73443006",""
"72670004","Sign","72670004",""
"72077002","Preoperative state","72077002",""
"69449002","Drug action","69449002",""
"69328002","Distress","69328002",""
"65124004","Swelling","65124004",""
"64572001","Disease","64572001",""
"62602005","Organic disease present","62602005",""
"59811005","Compensation","59811005",""
"58015007","Epidemic disease","58015007",""
"56302003","Toxic state","56302003",""
"55607006","Problem","55607006",""
"48851009","Impaired tissue integrity","48851009",""
"43498006","Body fluid retention","43498006",""
"42045007","Acceptance of illness","42045007",""
"41944006","Amputee","41944006",""
"39104002","Illness","39104002",""
"38320009","Posttraumatic state","38320009",""
"37668006","Subclinical disease AND/OR syndrome","37668006",""
"32082000","Competence","32082000",""
"29679002","Carrier of disorder","29679002",""
"25950000","Disease, alleged but not proven","25950000",""
"21639008","Hypervolemia","21639008",""
"18523001","Nudity","18523001",""
"18165001","Jaundice","18165001",""
"13197004","Uses contraception","13197004",""
"11999007","Inactive tuberculosis","11999007",""
"3219008","Disease type AND/OR category unknown","3219008",""
